code,rid
N,1486564
N,1486565
<,1486566
N,1486567
<,1488197
j,1489709
<,1488201
N,1487308
N,1487307
<,1487306
N,1487304
<,1488775
<,1488776
<,1486251
N,1487870
<,1490164
>,1491275
> Conc Range,1491275
d,1491276
<,1490927
K,1491757
<,1490931
<,1489190
N,1486379
N,1486378
N,1489189
K,1492284
N,1489188
N,1489185
N,1486531
<,1486568
N,1489850
<,1491982
N,1489860
<,1491981
<,1491986
<,1492309
N,1487314
<,1487309
N,1491808
>,1491818
N,1487871
N,1487875
j,1493845
>,1493288
<,1493066
<,1493070
N,1492345
<,1493130
<,1493129
N,1489160
N,1489122
N,1492718
N,1492721
<,1489186
<,1494312
<,1494316
N,1489851
<,1489861
<,1494753
<,1494757
N,1493807
j,1495705
<,1491809
>,1489051
N,1491819
N,1491858
N,1491859
<,1495376
N,1494565
N,1491844
N,1494567
N,1494739
N,1494787
<,1495645
N,1494788
<,1492695
<,1495673
<,1495677
<,1492696
N,1495119
<,1495118
N,1495117
<,1495116
<,1495124
N,1495126
N,1495127
<,1495332
N,1495342
N,1495341
<,1495340
N,1495338
<,1496883
<,1496887
N,1493808
N,1494568
N,1496738
N,1496737
N,1494786
N,1495120
N,1495122
<,1495121
N,1495123
<,1495125
<,1495331
<,1495343
<,1497877
<,1497885
<,1497957
<,1497961
N,1497654
N,1497655
<,1497973
N,1497668
N,1497669
N,1497670
N,1496410
j,1498576
*,1499221
*,1499278
K,1499194
N,1498199
N,1498198
N,1498197
<,1498196
N,1498195
N,1498205
N,1498204
N,1498203
<,1499012
N,1498201
<,1499016
N,1497656
N,1497662
N,1497667
N,1498200
N,1498193
N,1498206
N,1499532
N,1499531
N,1499530
N,1499528
N,1499534
<,1499533
N,1499683
N,1499682
<,1499692
>,1499878
<,1501151
<,1500335
<,1500334
N,1499902
N,1499904
N,1499905
N,1499906
j,1501257
<,1500493
<,1500492
>,1500535
<,1501096
<,1501172
>,1501198
<,1502134
<,1503106
N,1500928
>,1503279
N,1500983
<,1503749
N,1501359
<,1503748
N,1501519
N,1501603
N,1501786
N,1501787
N,1501788
N,1501790
<,1501924
N,1502247
>,1503932
j,1505378
<,1499907
>,1504861
j,1505732
>,1504673
>,1505096
j,1505948
N,1499963
j,1506774
<,1505871
N,1500333
N,1504846
N,1504847
N,1504848
N,1504850
N,1500929
N,1500984
N,1501360
N,1501520
<,1507667
<,1505626
N,1505627
<,1507666
N,1505628
<,1501604
N,1501785
N,1505630
N,1501789
<,1506232
N,1506233
N,1506234
N,1506236
N,1502248
<,1508505
>,1509491
> Conc Range,1509491
<,1506792
<,1501095
<,1508888
N,1503239
N,1503240
N,1507412
N,1507410
>,1510365
> Conc Range,1510365
<,1509518
N,1507653
N,1507654
<,1507655
N,1507656
N,1503308
<,1510100
N,1508509
<,1510099
<,1503378
N,1503446
<,1504416
<,1504525
N,1504845
N,1504849
<,1505014
<,1505625
<,1505629
<,1511336
<,1511335
N,1506231
<,1509976
<,1511468
<,1506235
N,1510029
N,1506532
<,1506611
<,1506704
N,1510278
<,1506793
N,1510343
>,1511324
N,1507350
<,1511887
<,1511885
N,1507411
>,1510985
N,1507522
<,1507652
N,1510983
<,1507657
<,1507880
N,1511434
>,1512304
>,1512381
N,1508725
<,1509537
<,1509981
N,1510030
<,1510279
<,1495339
N,1498194
N,1498202
<,1499529
N,1512876
N,1510984
<,1489187
<,1487305
<,1486563
N,1495115
N,1511438
<,1514186
<,1514257
<,1514256
<,1514280
<,1514279
<,1514454
<,1515474
<,1513590
<,1515051
<,1515094
>,1515098
<,1514615
N,1514618
N,1514616
<,1515116
<,1515153
<,1515152
N,1515029
N,1515027
N,1515026
<,1515025
K,1515658
<,1515554
<,1515553
K,1515687
K,1515722
N,1515307
N,1515305
N,1515304
<,1515303
<,1515909
N,1515911
<,1515929
<,1513391
N,1515942
<,1513390
<,1515943
N,1515952
N,1515953
N,1515954
N,1515547
N,1499903
<,1513408
>,1515706
<,1515770
K,1515912
N,1514617
<,1513421
K,1515956
<,1515028
<,1515934
<,1515933
<,1515742
N,1515024
>,1512511
<,1515306
>,1512510
<,1515302
<,1512602
<,1512601
<,1515548
N,1516125
>,1512380
<,1516101
N,1516107
N,1516105
N,1516104
N,1516103
N,1516108
N,1516114
N,1516113
N,1516112
<,1516111
N,1516110
N,1516106
N,1516102
N,1516115
>,1516132
N,1516133
>,1516134
N,1516135
N,1516109
<,1516116
N,1516149
<,1516155
<,1516150
K,1516827
K,1517030
<,1516676
<,1516680
K,1517949
<,1516907
<,1517109
<,1517113
>,1517254
>,1517258
>,1517773
<,1518210
N,1516415
N,1516417
N,1516418
>,1519621
> Conc Range,1519621
<,1519191
<,1519195
<,1519230
<,1519234
>,1518541
>,1519988
<,1520794
< Conc Range,1520794
>,1522979
N,1518523
N,1519118
N,1519184
N,1519647
j,1522837
>,1522035
>,1522039
>,1522225
N,1516416
N,1520355
N,1516419
N,1516509
j,1523654
N,1516805
N,1521106
<,1523098
<,1523102
N,1518179
<,1526022
N,1518524
N,1521482
N,1518498
<,1524512
<,1524511
<,1522528
N,1522527
N,1522529
N,1522530
<,1518799
N,1519185
N,1523423
<,1524880
<,1524884
>,1519378
N,1519648
<,1525287
<,1525291
N,1524059
<,1525487
N,1524182
<,1525491
N,1520336
N,1524184
<,1525502
N,1524185
N,1520356
<,1525506
N,1520433
<,1525542
N,1521107
<,1525929
<,1526077
<,1526076
<,1526195
<,1526890
<,1527046
<,1527050
<,1521381
<,1522497
<,1522526
