Id,InstrumentFlag.Instrument.Name,InstrumentFlag.Code,Result
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%
%% Application: CENTRALINK
%% Version: 16.0.3
%% Table: ResultFlag
%% Exported on: 08/09/19 at 19:53:56
%% Exported by: batch
%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
33008,DMS_Immulite2000_1,N,1459330
33009,DMS_Immulite2000_1,<,1456164
33010,DMS_Immulite2000_1,N,1459332
33011,DMS_Immulite2000_1,N,1459333
33012,DMS_Immulite2000_1,N,1459334
33013,DMS_AdviaCentaur_3,>,1461649
33014,DMS_Immulite2000_1,<,1456205
33015,DMS_AdviaCentaur_2,>,1460439
33016,DMS_Immulite2000_1,<,1456272
33017,DMS_AdviaCentaur_2,<,1460483
33018,DMS_AdviaCentaur_2,<,1460608
33019,DMS_Immulite2000_1,N,1457103
33020,DMS_ChemistryXPT_1,<,1461501
33021,DMS_ChemistryXPT_1,< Conc Range,1461501
33022,DMS_Immulite2000_1,N,1460118
33023,DMS_Immulite2000_1,N,1460119
33024,DMS_Immulite2000_1,N,1460131
33025,DMS_AdviaCentaur_3,>,1457843
33026,DMS_Immulite2000_1,N,1460132
33027,DMS_AdviaCentaur_2,<,1461185
33028,DMS_AdviaCentaur_2,<,1461184
33029,DMS_AdviaCentaur_2,<,1461503
33030,DMS_AdviaCentaur_2,<,1461502
33031,DMS_AdviaCentaur_2,<,1461593
33032,DMS_AdviaCentaur_2,>,1461616
33033,DMS_AdviaCentaur_2,<,1461615
33034,DMS_AdviaCentaur_2,<,1461683
33035,DMS_AdviaCentaur_2,<,1461763
33036,DMS_Immulite2000_1,N,1459319
33037,DMS_AdviaCentaur_2,<,1461762
33038,DMS_Immulite2000_1,N,1459323
33039,DMS_Immulite2000_1,N,1459331
33040,DMS_Immulite2000_1,<,1459335
33041,DMS_AdviaCentaur_2,<,1461908
33042,DMS_AdviaCentaur_2,>,1461912
33043,DMS_AdviaCentaur_2,>,1461913
33044,DMS_AdviaCentaur_2,<,1461935
33045,DMS_ChemistryXPT_1,<,1462099
33046,DMS_ChemistryXPT_1,< Conc Range,1462099
33047,DMS_ChemistryXPT_1,k,1462127
33048,DMS_AdviaCentaur_2,>,1461944
33049,DMS_AdviaCentaur_2,>,1461960
33050,DMS_AdviaCentaur_2,<,1461987
33051,DMS_AdviaCentaur_2,>,1461994
33052,DMS_AdviaCentaur_2,>,1461993
33053,DMS_AdviaCentaur_2,<,1462142
33054,DMS_AdviaCentaur_2,<,1462141
33055,DMS_Immulite2000_1,N,1460117
33056,DMS_Immulite2000_1,N,1460130
33057,DMS_Immulite2000_1,N,1461917
33058,DMS_Immulite2000_1,N,1461918
33059,DMS_Immulite2000_1,N,1461925
33060,DMS_Immulite2000_1,N,1461926
33061,DMS_Immulite2000_1,N,1461941
33062,DMS_Immulite2000_1,N,1461942
33063,DMS_Immulite2000_1,N,1461951
33064,DMS_Immulite2000_1,N,1461952
33065,DMS_Immulite2000_1,N,1461966
33066,DMS_Immulite2000_1,N,1461967
33067,DMS_Immulite2000_1,N,1461971
33068,DMS_Immulite2000_1,<,1461973
33069,DMS_AdviaCentaur_2,>,1462772
33070,DMS_Immulite2000_1,N,1461974
33071,DMS_AdviaCentaur_2,>,1462771
33072,DMS_ChemistryXPT_1,<,1463036
33073,DMS_ChemistryXPT_1,< Conc Range,1463036
33074,DMS_Immulite2000_1,N,1461975
33075,DMS_AdviaCentaur_2,<,1462798
33076,DMS_AdviaCentaur_2,<,1462797
33077,DMS_AdviaCentaur_2,<,1462955
33078,DMS_Immulite2000_1,N,1461916
33079,DMS_Immulite2000_1,N,1461924
33080,DMS_Immulite2000_1,N,1461940
33081,DMS_Immulite2000_1,N,1461950
33082,DMS_Immulite2000_1,N,1461965
33083,DMS_Immulite2000_1,N,1461972
33084,DMS_Immulite2000_1,N,1461976
33085,DMS_Immulite2000_1,N,1461985
33086,DMS_Immulite2000_1,<,1461999
33087,DMS_Immulite2000_1,<,1462089
33088,DMS_AdviaCentaur_2,<,1461986
33089,DMS_Immulite2000_1,N,1463155
33090,DMS_Immulite2000_1,N,1463156
33091,DMS_Immulite2000_1,N,1463158
33092,DMS_Immulite2000_1,N,1463159
33093,DMS_Immulite2000_1,<,1463152
33094,DMS_Immulite2000_1,<,1463153
33095,DMS_Immulite2000_1,N,1463154
33096,DMS_Immulite2000_1,N,1463157
33097,DMS_Immulite2000_1,<,1463160
33106,DMS_ChemistryXPT_3,K,1463961
33108,DMS_AdviaCentaur_2,<,1463539
33109,DMS_AdviaCentaur_2,>,1463582
33113,DMS_ChemistryXPT_1,<,1464829
33114,DMS_ChemistryXPT_1,< Conc Range,1464829
33116,DMS_AdviaCentaur_2,<,1464062
33117,DMS_AdviaCentaur_2,<,1464061
33118,DMS_AdviaCentaur_2,<,1464487
33119,DMS_AdviaCentaur_2,<,1464486
33123,DMS_ChemistryXPT_3,K,1466089
33124,DMS_ChemistryXPT_3,S,1467935
33125,DMS_ChemistryXPT_3,s,1467935
33126,DMS_ChemistryXPT_3,S,1467936
33127,DMS_ChemistryXPT_3,s,1467936
33128,DMS_ChemistryXPT_3,S,1467930
33129,DMS_ChemistryXPT_3,s,1467930
33130,DMS_ChemistryXPT_3,S,1467931
33131,DMS_ChemistryXPT_3,s,1467931
33132,DMS_ChemistryXPT_3,S,1467929
33133,DMS_ChemistryXPT_3,s,1467929
33134,DMS_ChemistryXPT_3,S,1467932
33135,DMS_ChemistryXPT_3,s,1467932
33136,DMS_ChemistryXPT_3,S,1467933
33137,DMS_ChemistryXPT_3,s,1467933
33138,DMS_ChemistryXPT_3,S,1467934
33139,DMS_ChemistryXPT_3,s,1467934
33140,DMS_AdviaCentaur_2,>,1465811
33141,DMS_ChemistryXPT_3,K,1466924
33142,DMS_AdviaCentaur_2,<,1466147
33143,DMS_Immulite2000_1,N,1464663
33145,DMS_Immulite2000_1,N,1464892
33146,DMS_Immulite2000_1,N,1465243
33147,DMS_ChemistryXPT_3,j,1468007
33148,DMS_Immulite2000_1,N,1465495
33149,DMS_AdviaCentaur_2,<,1467391
33150,DMS_Immulite2000_1,N,1465572
33151,DMS_Immulite2000_1,N,1465574
33152,DMS_ChemistryXPT_3,j,1468269
33153,DMS_Immulite2000_1,N,1465575
33154,DMS_Immulite2000_1,N,1465576
33155,DMS_AdviaCentaur_2,>,1468232
33156,DMS_AdviaCentaur_2,>,1468231
33160,DMS_AdviaCentaur_2,<,1468415
33165,DMS_Immulite2000_1,N,1463932
33167,DMS_Immulite2000_1,N,1463999
33168,DMS_AdviaCentaur_2,<,1468783
33169,DMS_Immulite2000_1,N,1467243
33170,DMS_Immulite2000_1,<,1467440
33171,DMS_Immulite2000_1,N,1464212
33172,DMS_AdviaCentaur_2,<,1469758
33173,DMS_AdviaCentaur_2,<,1469757
33174,DMS_Immulite2000_1,N,1464563
33199,DMS_ChemistryXPT_1,<,1470921
33200,DMS_ChemistryXPT_1,< Conc Range,1470921
33211,DMS_Immulite2000_1,N,1468766
33212,DMS_Immulite2000_1,N,1468788
33213,DMS_Immulite2000_1,N,1465244
33214,DMS_Immulite2000_1,N,1469045
33215,DMS_Immulite2000_1,N,1465496
33216,DMS_Immulite2000_1,N,1465573
33217,DMS_Immulite2000_1,N,1469252
33218,DMS_AdviaCentaur_2,<,1470574
33219,DMS_Immulite2000_1,<,1465577
33220,DMS_AdviaCentaur_2,<,1470573
33222,DMS_Immulite2000_1,N,1469930
33228,DMS_AdviaCentaur_2,>,1471925
33232,DMS_AdviaCentaur_2,>,1471924
33233,DMS_Immulite2000_1,<,1466383
33234,DMS_Immulite2000_1,N,1467244
33235,DMS_Immulite2000_1,N,1467495
33236,DMS_AdviaCentaur_2,<,1472564
33237,DMS_ChemistryXPT_1,<,1472995
33238,DMS_ChemistryXPT_1,< Conc Range,1472995
33239,DMS_AdviaCentaur_2,<,1472838
33240,DMS_AdviaCentaur_2,<,1472837
33241,DMS_Immulite2000_1,N,1468767
33242,DMS_Immulite2000_1,N,1472001
33243,DMS_ChemistryXPT_3,j,1473540
33244,DMS_Immulite2000_1,N,1468789
33245,DMS_Immulite2000_1,N,1472002
33246,DMS_Immulite2000_1,N,1469046
33248,DMS_Immulite2000_1,<,1469253
33251,DMS_AdviaCentaur_2,<,1473618
33252,DMS_Immulite2000_1,N,1469931
33253,DMS_AdviaCentaur_2,<,1473955
33254,DMS_ChemistryXPT_3,j,1474985
33255,DMS_ChemistryXPT_1,*,1475785
33256,DMS_ChemistryXPT_1,>,1464097
33257,DMS_ChemistryXPT_1,> Conc Range,1464097
33258,DMS_AdviaCentaur_2,<,1474692
33259,DMS_AdviaCentaur_2,<,1474691
33260,DMS_AdviaCentaur_2,<,1474732
33261,DMS_ChemistryXPT_1,>,1475454
33262,DMS_ChemistryXPT_1,> Conc Range,1475454
33263,DMS_AdviaCentaur_2,<,1475116
33264,DMS_AdviaCentaur_2,<,1475115
33265,DMS_AdviaCentaur_3,>,1474836
33266,DMS_Immulite2000_1,N,1474062
33267,DMS_Immulite2000_1,N,1472000
33268,DMS_Immulite2000_1,N,1474151
33269,DMS_Immulite2000_1,<,1474153
33270,DMS_Immulite2000_1,N,1474154
33271,DMS_Immulite2000_1,N,1474155
33273,DMS_Immulite2000_1,N,1474735
33274,DMS_Immulite2000_1,N,1474737
33275,DMS_Immulite2000_1,N,1474738
33276,DMS_Immulite2000_1,N,1474739
33277,DMS_Immulite2000_1,N,1474808
33278,DMS_Immulite2000_1,N,1474810
33279,DMS_Immulite2000_1,N,1474811
33280,DMS_Immulite2000_1,N,1474812
33281,DMS_Immulite2000_1,N,1475580
33282,DMS_Immulite2000_1,N,1475582
33283,DMS_Immulite2000_1,N,1475583
